station 311690,,,,,,
Start Date/Time,Year,Month,Day,Hour,48-hr Precip (in),Rank
1974-01-26T11,1974,01,26,11,1.94,132
1977-03-21T23,1977,03,21,23,1.94,133
1983-03-18T21,1983,03,18,21,1.94,134
1948-11-23T23,1948,11,23,23,1.93,135
1953-03-23T23,1953,03,23,23,1.93,136
1959-12-19T09,1959,12,19,09,1.93,137
2006-10-18T19,2006,10,18,19,1.93,138
1960-02-14T16,1960,02,14,16,1.92,139
1960-03-03T19,1960,03,03,19,1.92,140
1963-11-30T07,1963,11,30,07,1.92,141
1993-10-31T16,1993,10,31,16,1.92,142
2002-11-13T00,2002,11,13,00,1.92,143
2003-04-19T19,2003,04,19,19,1.92,144
2010-03-29T14,2010,03,29,14,1.92,145
1969-12-11T08,1969,12,11,08,1.91,146
1958-04-06T06,1958,04,06,06,1.89,147
1976-11-29T05,1976,11,29,05,1.89,148
1995-01-15T15,1995,01,15,15,1.89,149
2007-04-15T18,2007,04,15,18,1.89,150
1952-04-26T13,1952,04,26,13,1.88,151
1974-04-05T08,1974,04,05,08,1.87,152
2002-12-25T07,2002,12,25,07,1.87,153
1990-02-11T07,1990,02,11,07,1.86,154
2000-02-14T04,2000,02,14,04,1.86,155
2005-03-29T03,2005,03,29,03,1.86,156
1949-11-01T05,1949,11,01,05,1.85,157
1969-02-02T23,1969,02,02,23,1.85,158
1980-01-18T15,1980,01,18,15,1.85,159
1989-01-01T11,1989,01,01,11,1.85,160
1958-02-27T18,1958,02,27,18,1.83,161
1959-04-13T23,1959,04,13,23,1.83,162
1979-10-06T07,1979,10,06,07,1.83,163
1971-02-09T02,1971,02,09,02,1.82,164
1983-11-26T01,1983,11,26,01,1.81,165
1949-01-06T04,1949,01,06,04,1.80,166
1961-03-22T13,1961,03,22,13,1.80,167
1989-10-19T05,1989,10,19,05,1.80,168
1996-10-02T01,1996,10,02,01,1.80,169
1958-01-24T22,1958,01,24,22,1.79,170
1992-01-04T18,1992,01,04,18,1.79,171
1996-02-03T22,1996,02,03,22,1.79,172
1997-02-15T10,1997,02,15,10,1.78,173
2008-03-16T01,2008,03,16,01,1.78,174
1948-12-30T06,1948,12,30,06,1.77,175
1954-12-14T20,1954,12,14,20,1.77,176
1957-11-24T05,1957,11,24,05,1.77,177
1980-03-21T05,1980,03,21,05,1.77,178
1954-04-26T16,1954,04,26,16,1.76,179
2005-12-16T07,2005,12,16,07,1.76,180
1960-02-06T00,1960,02,06,00,1.75,181
1970-02-17T06,1970,02,17,06,1.75,182
1971-10-16T07,1971,10,16,07,1.75,183
1986-03-14T21,1986,03,14,21,1.75,184
1964-11-25T15,1964,11,25,15,1.74,185
1973-04-08T11,1973,04,08,11,1.74,186
1998-12-25T03,1998,12,25,03,1.74,187
2008-04-28T15,2008,04,28,15,1.74,188
2011-02-05T11,2011,02,05,11,1.74,189
1953-01-01T11,1953,01,01,11,1.73,190
1980-10-01T00,1980,10,01,00,1.73,191
1951-11-03T01,1951,11,03,01,1.72,192
1984-10-01T19,1984,10,01,19,1.72,193
1963-03-13T03,1963,03,13,03,1.71,194
1964-01-25T20,1964,01,25,20,1.71,195
1962-04-01T07,1962,04,01,07,1.70,196
1965-11-22T23,1965,11,22,23,1.70,197
1976-03-31T19,1976,03,31,19,1.70,198
1984-04-11T01,1984,04,11,01,1.70,199
1992-11-26T10,1992,11,26,10,1.70,200
1993-03-04T11,1993,03,04,11,1.70,201
1967-12-12T01,1967,12,12,01,1.69,202
2009-01-07T21,2009,01,07,21,1.69,203
2012-03-04T06,2012,03,04,06,1.69,204
1952-02-04T18,1952,02,04,18,1.68,205
1960-10-07T12,1960,10,07,12,1.68,206
1964-01-09T16,1964,01,09,16,1.68,207
1988-11-01T17,1988,11,01,17,1.68,208
1998-01-16T15,1998,01,16,15,1.68,209
1959-11-26T01,1959,11,26,01,1.67,210
1985-11-01T05,1985,11,01,05,1.67,211
2007-12-30T12,2007,12,30,12,1.67,212
2009-12-03T19,2009,12,03,19,1.67,213
1967-12-29T17,1967,12,29,17,1.66,214
1991-12-28T22,1991,12,28,22,1.66,215
1994-10-10T13,1994,10,10,13,1.66,216
1960-03-31T03,1960,03,31,03,1.65,217
1974-02-03T22,1974,02,03,22,1.65,218
1986-10-26T19,1986,10,26,19,1.65,219
2010-01-18T02,2010,01,18,02,1.65,220
1990-01-21T19,1990,01,21,19,1.64,221
1994-03-02T22,1994,03,02,22,1.64,222
1961-04-09T20,1961,04,09,20,1.63,223
1969-04-16T02,1969,04,16,02,1.63,224
1987-04-17T00,1987,04,17,00,1.63,225
1969-03-19T20,1969,03,19,20,1.62,226
1988-03-10T17,1988,03,10,17,1.62,227
2007-10-26T16,2007,10,26,16,1.62,228
1957-10-01T07,1957,10,01,07,1.61,229
1954-12-06T15,1954,12,06,15,1.60,230
1963-01-20T01,1963,01,20,01,1.60,231
1962-03-12T11,1962,03,12,11,1.59,232
1968-11-18T15,1968,11,18,15,1.59,233
1970-12-17T19,1970,12,17,19,1.58,234
1975-02-05T03,1975,02,05,03,1.58,235
2002-01-25T00,2002,01,25,00,1.58,236
1953-02-16T09,1953,02,16,09,1.57,237
2002-03-03T23,2002,03,03,23,1.57,238
1979-04-04T15,1979,04,04,15,1.56,239
1991-11-10T08,1991,11,10,08,1.56,240
1982-11-04T12,1982,11,04,12,1.55,241
1989-12-09T16,1989,12,09,16,1.55,242
1974-01-01T18,1974,01,01,18,1.54,243
1987-01-01T23,1987,01,01,23,1.54,244
1993-11-28T04,1993,11,28,04,1.54,245
2000-03-22T00,2000,03,22,00,1.54,246
1953-01-09T21,1953,01,09,21,1.53,247
1962-02-27T04,1962,02,27,04,1.53,248
1987-01-19T17,1987,01,19,17,1.53,249
1989-02-28T16,1989,02,28,16,1.53,250
1999-04-30T08,1999,04,30,08,1.53,251
1987-02-27T23,1987,02,27,23,1.52,252
1997-10-19T19,1997,10,19,19,1.52,253
2007-01-08T13,2007,01,08,13,1.52,254
1962-01-02T01,1962,01,02,01,1.51,255
1965-04-27T07,1965,04,27,07,1.51,256
1989-11-16T09,1989,11,16,09,1.51,257
1996-01-29T00,1996,01,29,00,1.51,258
1951-04-08T08,1951,04,08,08,1.50,259
1964-02-19T17,1964,02,19,17,1.50,260
1975-12-31T19,1975,12,31,19,1.50,261
1979-04-13T16,1979,04,13,16,1.50,262
2009-12-09T14,2009,12,09,14,1.50,263
1997-10-27T18,1997,10,27,18,1.49,264
1998-01-28T21,1998,01,28,21,1.49,265
1961-02-08T14,1961,02,08,14,1.48,266
1966-02-13T19,1966,02,13,19,1.48,267
1994-04-17T07,1994,04,17,07,1.47,268
1997-03-01T05,1997,03,01,05,1.47,269
1961-01-15T19,1961,01,15,19,1.46,270
1961-04-01T06,1961,04,01,06,1.46,271
1969-02-17T05,1969,02,17,05,1.46,272
1994-02-24T08,1994,02,24,08,1.46,273
1952-03-12T06,1952,03,12,06,1.45,274
1953-02-08T07,1953,02,08,07,1.45,275
1957-04-06T10,1957,04,06,10,1.45,276
1995-11-12T02,1995,11,12,02,1.45,277
1957-02-01T21,1957,02,01,21,1.44,278
1974-11-21T14,1974,11,21,14,1.44,279
1995-03-01T09,1995,03,01,09,1.44,280
2003-03-06T08,2003,03,06,08,1.44,281
2006-11-17T00,2006,11,17,00,1.44,282
2008-11-30T17,2008,11,30,17,1.44,283
1967-02-18T06,1967,02,18,06,1.43,284
1979-02-08T12,1979,02,08,12,1.43,285
2001-03-21T22,2001,03,21,22,1.43,286
1990-03-04T01,1990,03,04,01,1.42,287
1997-12-22T14,1997,12,22,14,1.42,288
2008-04-05T14,2008,04,05,14,1.42,289
2004-12-11T06,2004,12,11,06,1.41,290
1972-12-23T05,1972,12,23,05,1.40,291
1974-01-21T09,1974,01,21,09,1.40,292
1976-12-13T00,1976,12,13,00,1.40,293
1982-02-03T22,1982,02,03,22,1.40,294
1987-11-11T17,1987,11,11,17,1.40,295
1998-02-04T21,1998,02,04,21,1.40,296
1963-04-30T17,1963,04,30,17,1.39,297
1972-11-15T03,1972,11,15,03,1.39,298
1965-03-03T10,1965,03,03,10,1.38,299
1974-02-08T07,1974,02,08,07,1.38,300
1951-03-30T09,1951,03,30,09,1.37,301
1953-12-07T19,1953,12,07,19,1.37,302
1956-04-12T06,1956,04,12,06,1.37,303
1977-01-10T15,1977,01,10,15,1.37,304
1982-02-28T06,1982,02,28,06,1.37,305
1966-02-28T21,1966,02,28,21,1.35,306
1980-04-08T19,1980,04,08,19,1.35,307
1992-11-13T15,1992,11,13,15,1.35,308
2002-10-16T11,2002,10,16,11,1.35,309
1995-10-28T15,1995,10,28,15,1.34,310
1999-01-24T11,1999,01,24,11,1.34,311
1999-02-19T20,1999,02,19,20,1.34,312
1956-04-16T08,1956,04,16,08,1.33,313
1983-02-15T13,1983,02,15,13,1.33,314
1996-10-09T11,1996,10,09,11,1.33,315
1999-01-03T08,1999,01,03,08,1.32,316
1971-11-25T18,1971,11,25,18,1.31,317
2008-02-02T06,2008,02,02,06,1.31,318
2008-03-05T02,2008,03,05,02,1.31,319
