station 52220,,,,,,
Start Date/Time,Year,Month,Day,Hour,48-hr Precip (in),Rank
1951-02-14T02,1951,02,14,02,0.63,132
1971-02-21T15,1971,02,21,15,0.63,133
1980-03-29T08,1980,03,29,08,0.63,134
1985-12-10T16,1985,12,10,16,0.63,135
1992-11-21T12,1992,11,21,12,0.63,136
1973-04-03T13,1973,04,03,13,0.62,137
1987-10-14T07,1987,10,14,07,0.62,138
1993-04-14T02,1993,04,14,02,0.62,139
1965-04-27T13,1965,04,27,13,0.61,140
1987-11-01T07,1987,11,01,07,0.61,141
1951-11-06T02,1951,11,06,02,0.60,142
1960-02-23T11,1960,02,23,11,0.60,143
1973-12-19T07,1973,12,19,07,0.60,144
1997-04-05T15,1997,04,05,15,0.60,145
2000-11-05T22,2000,11,05,22,0.60,146
1949-10-20T04,1949,10,20,04,0.59,147
1962-11-17T08,1962,11,17,08,0.59,148
1968-03-11T08,1968,03,11,08,0.59,149
1961-03-05T13,1961,03,05,13,0.58,150
1984-03-23T11,1984,03,23,11,0.58,151
1985-11-11T00,1985,11,11,00,0.58,152
1992-11-02T15,1992,11,02,15,0.58,153
1994-04-27T05,1994,04,27,05,0.58,154
1958-01-20T14,1958,01,20,14,0.57,155
1990-11-04T04,1990,11,04,04,0.57,156
1993-02-11T12,1993,02,11,12,0.57,157
1963-03-13T07,1963,03,13,07,0.56,158
1969-10-30T09,1969,10,30,09,0.56,159
1981-04-20T14,1981,04,20,14,0.56,160
1983-04-05T10,1983,04,05,10,0.56,161
1989-10-17T07,1989,10,17,07,0.56,162
1993-04-07T13,1993,04,07,13,0.56,163
1961-04-25T16,1961,04,25,16,0.55,164
1966-04-20T15,1966,04,20,15,0.55,165
1975-04-02T07,1975,04,02,07,0.55,166
1975-04-19T14,1975,04,19,14,0.55,167
1981-03-29T11,1981,03,29,11,0.55,168
1983-11-19T18,1983,11,19,18,0.55,169
1988-03-31T18,1988,03,31,18,0.55,170
1958-04-26T04,1958,04,26,04,0.54,171
1959-02-25T20,1959,02,25,20,0.54,172
