station 40897,,,,,,,,
Start Date/Time,Year,Month,Day,Hour,48-hr Precip (in),Rank,,
2011-03-16T09,2011,03,16,09,4.69,122,,
2003-12-07T05,2003,12,07,05,4.68,123,,
1975-02-02T15,1975,02,02,15,4.67,124,,
1962-01-20T13,1962,01,20,13,4.65,125,,
2001-12-03T03,2001,12,03,03,4.64,126,,
1951-11-12T12,1951,11,12,12,4.60,127,,
1951-12-29T18,1951,12,29,18,4.60,128,,
1953-01-14T07,1953,01,14,07,4.60,129,,
1990-04-01T16,1990,04,01,16,4.60,130,,
1950-02-06T00,1950,02,06,00,4.55,131,,
1983-10-31T15,1983,10,31,15,4.52,132,,
1985-11-29T13,1985,11,29,13,4.52,133,,
1983-11-12T13,1983,11,12,13,4.50,134,,
1996-03-05T14,1996,03,05,14,4.50,135,,
1968-11-03T22,1968,11,03,22,4.48,136,,
1964-11-12T02,1964,11,12,02,4.45,137,,
1972-11-05T05,1972,11,05,05,4.45,138,,
2009-12-13T02,2009,12,13,02,4.44,139,,
1955-04-18T23,1955,04,18,23,4.43,140,,
1953-04-28T03,1953,04,28,03,4.41,141,,
1970-11-26T11,1970,11,26,11,4.41,142,,
1955-12-07T04,1955,12,07,04,4.38,143,,
1962-12-03T12,1962,12,03,12,4.38,144,,
2005-12-19T15,2005,12,19,15,4.38,145,,
1973-01-17T15,1973,01,17,15,4.37,146,,
1977-12-15T14,1977,12,15,14,4.36,147,,
2008-11-02T17,2008,11,02,17,4.36,148,,
1967-03-17T15,1967,03,17,15,4.35,149,,
1973-12-29T09,1973,12,29,09,4.30,150,,
1981-12-30T11,1981,12,30,11,4.30,151,,
1996-01-25T11,1996,01,25,11,4.30,152,,
2009-10-14T16,2009,10,14,16,4.29,153,,
1954-11-16T09,1954,11,16,09,4.26,154,,
1983-12-11T02,1983,12,11,02,4.26,155,,
1968-10-13T16,1968,10,13,16,4.24,156,,
1950-12-15T15,1950,12,15,15,4.22,157,,
1967-03-12T16,1967,03,12,16,4.22,158,,
1993-04-02T20,1993,04,02,20,4.20,159,,
1978-02-07T12,1978,02,07,12,4.18,160,,
1975-03-25T13,1975,03,25,13,4.17,161,,
1968-02-21T07,1968,02,21,07,4.16,162,,
1983-02-27T04,1983,02,27,04,4.13,163,,
2009-02-24T05,2009,02,24,05,4.13,164,,
1971-12-25T23,1971,12,25,23,4.12,165,,
1958-03-22T05,1958,03,22,05,4.11,166,,
1998-11-30T16,1998,11,30,16,4.10,167,,
1982-01-05T16,1982,01,05,16,4.09,168,,
1975-01-08T02,1975,01,08,02,4.07,169,,
1966-01-05T23,1966,01,05,23,4.06,170,,
1967-12-05T07,1967,12,05,07,4.06,171,,
1977-12-23T08,1977,12,23,08,4.04,172,,
1979-12-31T22,1979,12,31,22,4.03,173,,
1952-12-02T22,1952,12,02,22,4.01,174,,
1951-01-23T00,1951,01,23,00,4.00,175,,
1991-03-25T13,1991,03,25,13,4.00,176,,
1963-11-15T22,1963,11,15,22,3.99,177,,
1963-03-29T04,1963,03,29,04,3.98,178,,
1975-02-10T15,1975,02,10,15,3.96,179,,
1962-12-17T02,1962,12,17,02,3.95,180,,
1971-11-13T08,1971,11,13,08,3.95,181,,
1958-02-13T04,1958,02,13,04,3.94,182,,
1959-02-17T17,1959,02,17,17,3.94,183,,
2004-02-18T08,2004,02,18,08,3.93,184,,
1950-01-23T11,1950,01,23,11,3.90,185,,
1955-02-27T16,1955,02,27,16,3.90,186,,
1956-02-20T23,1956,02,20,23,3.90,187,,
1995-04-29T07,1995,04,29,07,3.90,188,,
1959-01-06T23,1959,01,06,23,3.88,189,,
1972-04-12T23,1972,04,12,23,3.88,190,,
1965-12-30T11,1965,12,30,11,3.85,191,,
1975-10-27T04,1975,10,27,04,3.85,192,,
1985-03-28T03,1985,03,28,03,3.85,193,,
1986-01-17T12,1986,01,17,12,3.83,194,,
1952-02-02T23,1952,02,02,23,3.82,195,,
1968-01-30T23,1968,01,30,23,3.82,196,,
1951-10-02T23,1951,10,02,23,3.81,197,,
1960-01-09T07,1960,01,09,07,3.80,198,,
1992-02-16T13,1992,02,16,13,3.80,199,,
1992-12-08T21,1992,12,08,21,3.80,200,,
1995-04-08T17,1995,04,08,17,3.80,201,,
1956-01-26T22,1956,01,26,22,3.79,202,,
1983-11-24T23,1983,11,24,23,3.79,203,,
1950-03-25T08,1950,03,25,08,3.78,204,,
1977-01-03T15,1977,01,03,15,3.78,205,,
2004-12-09T00,2004,12,09,00,3.78,206,,
1979-02-14T20,1979,02,14,20,3.77,207,,
1968-01-16T03,1968,01,16,03,3.74,208,,
2003-03-15T16,2003,03,15,16,3.74,209,,
1957-11-14T13,1957,11,14,13,3.72,210,,
1979-02-22T12,1979,02,22,12,3.72,211,,
1992-10-30T02,1992,10,30,02,3.70,212,,
1993-03-18T17,1993,03,18,17,3.70,213,,
2003-04-13T21,2003,04,13,21,3.70,214,,
2012-11-18T15,2012,11,18,15,3.69,215,,
1954-04-06T11,1954,04,06,11,3.68,216,,
1958-03-30T16,1958,03,30,16,3.67,217,,
2008-01-06T00,2008,01,06,00,3.65,218,,
1957-03-05T13,1957,03,05,13,3.64,219,,
1984-03-15T06,1984,03,15,06,3.64,220,,
1953-01-19T05,1953,01,19,05,3.62,221,,
2009-03-04T03,2009,03,04,03,3.62,222,,
