station 52220,,,,,,
Start Date/Time,Year,Month,Day,Hour,2-hr Precip (in),Rank
1972-08-27T18,1972,08,27,18,0.52,132
1949-07-05T14,1949,07,05,14,0.51,133
1958-09-15T16,1958,09,15,16,0.51,134
1996-09-18T21,1996,09,18,21,0.50,135
1997-05-22T11,1997,05,22,11,0.50,136
1997-06-01T02,1997,06,01,02,0.50,137
1997-06-06T16,1997,06,06,16,0.50,138
1998-09-21T18,1998,09,21,18,0.50,139
1999-06-10T14,1999,06,10,14,0.50,140
2000-05-17T15,2000,05,17,15,0.50,141
2000-07-16T22,2000,07,16,22,0.50,142
2001-06-03T23,2001,06,03,23,0.50,143
2005-06-03T18,2005,06,03,18,0.50,144
2005-06-09T17,2005,06,09,17,0.50,145
2005-08-04T13,2005,08,04,13,0.50,146
2007-05-28T19,2007,05,28,19,0.50,147
2011-05-19T20,2011,05,19,20,0.50,148
2012-09-26T21,2012,09,26,21,0.50,149
1974-06-08T14,1974,06,08,14,0.49,150
1958-06-14T21,1958,06,14,21,0.48,151
1969-05-07T00,1969,05,07,00,0.48,152
1989-06-03T16,1989,06,03,16,0.48,153
1951-07-05T18,1951,07,05,18,0.47,154
1957-06-15T02,1957,06,15,02,0.47,155
1958-07-27T08,1958,07,27,08,0.47,156
1963-06-15T21,1963,06,15,21,0.47,157
1963-08-25T17,1963,08,25,17,0.47,158
1965-07-23T21,1965,07,23,21,0.47,159
1989-05-14T11,1989,05,14,11,0.47,160
1965-05-26T17,1965,05,26,17,0.46,161
1967-06-09T11,1967,06,09,11,0.46,162
1956-05-20T20,1956,05,20,20,0.45,163
1958-05-08T20,1958,05,08,20,0.45,164
1972-06-05T20,1972,06,05,20,0.45,165
1977-07-20T17,1977,07,20,17,0.45,166
1977-07-23T15,1977,07,23,15,0.45,167
1981-08-16T15,1981,08,16,15,0.45,168
1993-07-13T20,1993,07,13,20,0.45,169
1975-07-05T17,1975,07,05,17,0.44,170
1988-06-11T18,1988,06,11,18,0.44,171
1992-08-24T12,1992,08,24,12,0.44,172
1963-08-06T18,1963,08,06,18,0.43,173
1966-08-02T14,1966,08,02,14,0.43,174
1982-06-17T13,1982,06,17,13,0.43,175
1984-08-20T19,1984,08,20,19,0.43,176
1985-07-23T17,1985,07,23,17,0.43,177
1988-08-17T17,1988,08,17,17,0.43,178
1954-07-27T14,1954,07,27,14,0.42,179
1961-07-30T19,1961,07,30,19,0.42,180
1963-07-09T14,1963,07,09,14,0.42,181
1975-07-30T14,1975,07,30,14,0.42,182
1979-07-25T16,1979,07,25,16,0.42,183
1987-07-23T22,1987,07,23,22,0.42,184
1953-06-05T12,1953,06,05,12,0.41,185
1975-06-23T15,1975,06,23,15,0.41,186
1952-07-07T01,1952,07,07,01,0.40,187
1955-09-18T23,1955,09,18,23,0.40,188
1967-07-07T20,1967,07,07,20,0.40,189
1967-07-15T14,1967,07,15,14,0.40,190
1980-05-07T16,1980,05,07,16,0.40,191
1981-05-03T21,1981,05,03,21,0.40,192
1982-05-12T18,1982,05,12,18,0.40,193
1982-07-01T15,1982,07,01,15,0.40,194
1984-07-28T17,1984,07,28,17,0.40,195
1990-07-19T22,1990,07,19,22,0.40,196
1996-05-26T09,1996,05,26,09,0.40,197
1996-09-14T14,1996,09,14,14,0.40,198
1997-08-04T16,1997,08,04,16,0.40,199
1997-08-06T06,1997,08,06,06,0.40,200
2002-07-04T20,2002,07,04,20,0.40,201
2003-05-10T09,2003,05,10,09,0.40,202
2006-07-02T08,2006,07,02,08,0.40,203
2006-08-01T18,2006,08,01,18,0.40,204
2007-08-02T21,2007,08,02,21,0.40,205
2007-08-21T21,2007,08,21,21,0.40,206
2012-09-12T08,2012,09,12,08,0.40,207
2013-09-12T04,2013,09,12,04,0.40,208
2013-09-23T02,2013,09,23,02,0.40,209
1949-05-13T08,1949,05,13,08,0.39,210
1951-05-20T15,1951,05,20,15,0.39,211
1959-05-31T18,1959,05,31,18,0.39,212
1966-07-21T18,1966,07,21,18,0.39,213
1985-06-25T14,1985,06,25,14,0.39,214
1955-07-23T21,1955,07,23,21,0.38,215
1966-06-08T02,1966,06,08,02,0.38,216
1966-09-01T20,1966,09,01,20,0.38,217
1966-09-15T01,1966,09,15,01,0.38,218
1970-09-21T23,1970,09,21,23,0.38,219
1972-06-12T14,1972,06,12,14,0.38,220
1976-07-21T15,1976,07,21,15,0.38,221
1984-05-06T01,1984,05,06,01,0.38,222
1984-07-30T22,1984,07,30,22,0.38,223
1989-08-13T00,1989,08,13,00,0.38,224
1991-08-02T18,1991,08,02,18,0.38,225
1948-09-19T18,1948,09,19,18,0.37,226
1950-09-19T16,1950,09,19,16,0.37,227
1957-05-15T12,1957,05,15,12,0.37,228
1957-07-26T16,1957,07,26,16,0.37,229
1990-08-15T17,1990,08,15,17,0.37,230
1991-05-28T22,1991,05,28,22,0.37,231
1957-08-17T22,1957,08,17,22,0.36,232
1964-07-11T22,1964,07,11,22,0.36,233
1965-06-09T15,1965,06,09,15,0.36,234
1978-05-17T14,1978,05,17,14,0.36,235
1981-05-29T02,1981,05,29,02,0.36,236
1983-05-16T21,1983,05,16,21,0.36,237
1983-06-26T20,1983,06,26,20,0.36,238
1985-05-12T19,1985,05,12,19,0.36,239
1987-05-24T07,1987,05,24,07,0.36,240
1987-08-22T01,1987,08,22,01,0.36,241
1990-08-04T15,1990,08,04,15,0.36,242
1958-05-14T11,1958,05,14,11,0.35,243
1960-07-13T15,1960,07,13,15,0.35,244
1966-08-11T16,1966,08,11,16,0.35,245
1980-05-01T13,1980,05,01,13,0.35,246
1982-05-23T15,1982,05,23,15,0.35,247
1990-08-19T18,1990,08,19,18,0.35,248
1949-06-13T23,1949,06,13,23,0.34,249
1950-09-11T00,1950,09,11,00,0.34,250
1952-08-21T16,1952,08,21,16,0.34,251
1965-07-21T21,1965,07,21,21,0.34,252
1981-07-26T20,1981,07,26,20,0.34,253
1984-06-01T18,1984,06,01,18,0.34,254
1985-09-01T15,1985,09,01,15,0.34,255
1992-07-17T02,1992,07,17,02,0.34,256
1953-05-16T16,1953,05,16,16,0.33,257
1955-08-26T23,1955,08,26,23,0.33,258
1961-07-21T10,1961,07,21,10,0.33,259
1965-06-16T14,1965,06,16,14,0.33,260
1965-08-17T21,1965,08,17,21,0.33,261
1966-08-20T13,1966,08,20,13,0.33,262
1974-07-29T15,1974,07,29,15,0.33,263
1975-06-07T22,1975,06,07,22,0.33,264
1976-07-20T22,1976,07,20,22,0.33,265
1977-07-05T19,1977,07,05,19,0.33,266
1979-08-14T12,1979,08,14,12,0.33,267
1984-06-18T13,1984,06,18,13,0.33,268
1987-06-29T11,1987,06,29,11,0.33,269
1952-05-23T12,1952,05,23,12,0.32,270
1958-05-07T22,1958,05,07,22,0.32,271
1967-07-03T20,1967,07,03,20,0.32,272
1967-08-08T19,1967,08,08,19,0.32,273
1972-06-06T02,1972,06,06,02,0.32,274
1983-07-10T18,1983,07,10,18,0.32,275
1987-05-21T13,1987,05,21,13,0.32,276
1991-08-28T15,1991,08,28,15,0.32,277
1992-05-31T19,1992,05,31,19,0.32,278
1952-09-13T05,1952,09,13,05,0.31,279
1955-05-18T09,1955,05,18,09,0.31,280
1955-09-24T23,1955,09,24,23,0.31,281
1957-08-27T21,1957,08,27,21,0.31,282
1961-07-31T16,1961,07,31,16,0.31,283
1967-06-16T20,1967,06,16,20,0.31,284
1969-08-29T22,1969,08,29,22,0.31,285
1978-06-05T12,1978,06,05,12,0.31,286
1989-05-31T18,1989,05,31,18,0.31,287
1954-08-13T19,1954,08,13,19,0.30,288
1963-06-16T10,1963,06,16,10,0.30,289
1968-08-14T13,1968,08,14,13,0.30,290
1973-09-28T08,1973,09,28,08,0.30,291
1979-06-07T18,1979,06,07,18,0.30,292
1983-08-13T16,1983,08,13,16,0.30,293
1987-06-28T14,1987,06,28,14,0.30,294
1990-08-31T21,1990,08,31,21,0.30,295
1995-09-21T08,1995,09,21,08,0.30,296
1996-06-13T16,1996,06,13,16,0.30,297
1996-09-12T16,1996,09,12,16,0.30,298
1997-07-31T15,1997,07,31,15,0.30,299
1998-05-07T02,1998,05,07,02,0.30,300
1999-06-09T20,1999,06,09,20,0.30,301
1999-07-28T17,1999,07,28,17,0.30,302
1999-08-04T17,1999,08,04,17,0.30,303
2000-08-29T18,2000,08,29,18,0.30,304
2000-08-31T17,2000,08,31,17,0.30,305
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
