station 111549,,,,,,
Start Date/Time,Year,Month,Day,Hour,6-hr Precip (in),Rank
1996-05-28T18,1996,05,28,18,1.25,132
1974-07-22T06,1974,07,22,06,1.24,133
1993-06-26T21,1993,06,26,21,1.24,134
2013-07-03T13,2013,07,03,13,1.24,135
1977-09-01T04,1977,09,01,04,1.23,136
1988-08-09T00,1988,08,09,00,1.23,137
2003-07-15T07,2003,07,15,07,1.23,138
1975-06-02T18,1975,06,02,18,1.22,139
1983-06-27T19,1983,06,27,19,1.22,140
1992-06-17T15,1992,06,17,15,1.22,141
1993-07-25T08,1993,07,25,08,1.22,142
2000-07-03T02,2000,07,03,02,1.22,143
1973-07-20T19,1973,07,20,19,1.21,144
2001-08-02T11,2001,08,02,11,1.21,145
2009-06-16T20,2009,06,16,20,1.21,146
1995-08-16T15,1995,08,16,15,1.20,147
2005-05-19T05,2005,05,19,05,1.20,148
1980-09-07T21,1980,09,07,21,1.19,149
1999-06-13T14,1999,06,13,14,1.19,150
2003-05-09T03,2003,05,09,03,1.19,151
1970-07-19T19,1970,07,19,19,1.18,152
1983-06-10T04,1983,06,10,04,1.18,153
2008-05-02T12,2008,05,02,12,1.18,154
2013-05-21T01,2013,05,21,01,1.18,155
1970-06-21T02,1970,06,21,02,1.15,156
1973-09-17T08,1973,09,17,08,1.15,157
1967-06-24T16,1967,06,24,16,1.14,158
1962-09-10T02,1962,09,10,02,1.13,159
1964-06-22T18,1964,06,22,18,1.13,160
1977-09-26T01,1977,09,26,01,1.13,161
2003-05-04T23,2003,05,04,23,1.13,162
2004-05-30T14,2004,05,30,14,1.13,163
1970-05-13T00,1970,05,13,00,1.12,164
1985-08-06T03,1985,08,06,03,1.12,165
1997-06-20T22,1997,06,20,22,1.11,166
2011-08-20T12,2011,08,20,12,1.11,167
1963-08-03T05,1963,08,03,05,1.10,168
1965-08-17T08,1965,08,17,08,1.10,169
1965-09-22T09,1965,09,22,09,1.10,170
1966-06-09T07,1966,06,09,07,1.10,171
1969-05-18T01,1969,05,18,01,1.10,172
1978-07-02T03,1978,07,02,03,1.10,173
2010-06-04T20,2010,06,04,20,1.10,174
1980-09-16T22,1980,09,16,22,1.09,175
