station 111549,,,,,,
Start Date/Time,Year,Month,Day,Hour,2-hr Precip (in),Rank
2004-08-24T14,2004,08,24,14,1.01,132
2011-07-15T01,2011,07,15,01,1.01,133
2011-08-20T10,2011,08,20,10,1.01,134
1979-07-30T08,1979,07,30,08,1.00,135
1989-07-18T17,1989,07,18,17,1.00,136
1970-07-30T03,1970,07,30,03,0.99,137
1990-05-09T15,1990,05,09,15,0.98,138
2008-08-01T05,2008,08,01,05,0.98,139
2011-05-03T20,2011,05,03,20,0.98,140
2012-08-28T14,2012,08,28,14,0.98,141
1983-08-17T05,1983,08,17,05,0.97,142
1986-09-29T14,1986,09,29,14,0.97,143
1995-08-15T11,1995,08,15,11,0.97,144
1997-08-16T18,1997,08,16,18,0.96,145
2004-07-03T19,2004,07,03,19,0.96,146
2006-05-30T19,2006,05,30,19,0.96,147
1984-05-22T10,1984,05,22,10,0.95,148
2002-06-04T06,2002,06,04,06,0.95,149
2006-06-25T23,2006,06,25,23,0.95,150
1967-08-18T15,1967,08,18,15,0.94,151
1987-06-11T19,1987,06,11,19,0.94,152
1979-06-08T15,1979,06,08,15,0.93,153
1965-08-17T05,1965,08,17,05,0.92,154
1970-06-01T17,1970,06,01,17,0.92,155
1978-06-07T19,1978,06,07,19,0.92,156
2001-08-22T17,2001,08,22,17,0.92,157
2013-06-27T17,2013,06,27,17,0.92,158
1980-05-29T14,1980,05,29,14,0.91,159
1983-06-10T02,1983,06,10,02,0.91,160
1983-09-19T00,1983,09,19,00,0.91,161
1991-05-16T17,1991,05,16,17,0.91,162
2000-07-10T05,2000,07,10,05,0.91,163
2009-05-26T20,2009,05,26,20,0.91,164
2010-05-13T04,2010,05,13,04,0.91,165
2001-09-06T20,2001,09,06,20,0.90,166
1973-07-20T17,1973,07,20,17,0.89,167
1977-08-26T15,1977,08,26,15,0.89,168
1977-09-01T01,1977,09,01,01,0.89,169
1988-07-30T03,1988,07,30,03,0.89,170
2013-06-26T06,2013,06,26,06,0.89,171
2003-05-09T00,2003,05,09,00,0.88,172
1972-07-14T23,1972,07,14,23,0.87,173
1988-08-08T20,1988,08,08,20,0.87,174
1994-06-17T12,1994,06,17,12,0.87,175
1996-07-17T13,1996,07,17,13,0.87,176
2007-08-20T01,2007,08,20,01,0.87,177
2006-07-20T08,2006,07,20,08,0.86,178
2010-06-29T23,2010,06,29,23,0.86,179
2012-08-22T17,2012,08,22,17,0.86,180
1970-09-09T22,1970,09,09,22,0.85,181
1972-07-17T19,1972,07,17,19,0.85,182
1974-07-22T02,1974,07,22,02,0.85,183
1991-08-08T07,1991,08,08,07,0.85,184
1979-06-28T23,1979,06,28,23,0.84,185
1994-07-21T19,1994,07,21,19,0.84,186
2008-07-19T08,2008,07,19,08,0.84,187
2008-09-04T16,2008,09,04,16,0.84,188
2010-06-26T03,2010,06,26,03,0.84,189
2012-06-13T19,2012,06,13,19,0.84,190
1981-08-03T04,1981,08,03,04,0.83,191
2006-09-11T08,2006,09,11,08,0.83,192
1973-07-04T05,1973,07,04,05,0.82,193
1986-05-17T17,1986,05,17,17,0.82,194
1990-08-12T13,1990,08,12,13,0.82,195
2008-06-08T23,2008,06,08,23,0.82,196
2008-07-31T20,2008,07,31,20,0.82,197
2008-08-02T22,2008,08,02,22,0.82,198
1967-07-09T20,1967,07,09,20,0.81,199
1972-09-13T06,1972,09,13,06,0.81,200
1981-09-07T16,1981,09,07,16,0.81,201
1984-06-23T19,1984,06,23,19,0.81,202
1996-06-17T08,1996,06,17,08,0.81,203
1995-06-27T12,1995,06,27,12,0.80,204
2012-05-07T00,2012,05,07,00,0.80,205
1964-05-08T03,1964,05,08,03,0.79,206
1965-06-05T20,1965,06,05,20,0.79,207
1974-08-02T22,1974,08,02,22,0.79,208
1978-06-25T10,1978,06,25,10,0.79,209
2001-09-19T02,2001,09,19,02,0.79,210
2008-05-15T18,2008,05,15,18,0.79,211
1983-09-05T22,1983,09,05,22,0.78,212
1984-07-10T21,1984,07,10,21,0.78,213
1970-06-26T07,1970,06,26,07,0.77,214
1978-07-20T20,1978,07,20,20,0.77,215
2008-08-26T09,2008,08,26,09,0.77,216
1963-07-19T18,1963,07,19,18,0.76,217
1965-09-22T05,1965,09,22,05,0.76,218
1969-06-29T08,1969,06,29,08,0.76,219
1970-05-12T09,1970,05,12,09,0.76,220
1981-06-13T03,1981,06,13,03,0.76,221
1991-05-25T00,1991,05,25,00,0.76,222
2001-08-25T09,2001,08,25,09,0.76,223
1981-08-14T20,1981,08,14,20,0.75,224
1989-08-19T23,1989,08,19,23,0.75,225
2001-07-25T04,2001,07,25,04,0.75,226
1965-06-08T20,1965,06,08,20,0.74,227
1966-06-13T02,1966,06,13,02,0.74,228
1973-06-16T11,1973,06,16,11,0.74,229
1973-09-29T02,1973,09,29,02,0.74,230
1976-05-05T21,1976,05,05,21,0.74,231
1976-06-29T17,1976,06,29,17,0.74,232
1977-06-11T02,1977,06,11,02,0.74,233
1977-08-08T03,1977,08,08,03,0.74,234
1980-09-07T19,1980,09,07,19,0.74,235
1989-07-19T22,1989,07,19,22,0.74,236
2007-05-26T02,2007,05,26,02,0.74,237
2008-07-20T01,2008,07,20,01,0.74,238
1982-07-10T10,1982,07,10,10,0.73,239
2002-05-11T22,2002,05,11,22,0.73,240
2009-06-16T17,2009,06,16,17,0.73,241
2010-06-10T16,2010,06,10,16,0.73,242
2013-06-21T12,2013,06,21,12,0.73,243
1971-08-10T16,1971,08,10,16,0.72,244
1974-06-08T18,1974,06,08,18,0.72,245
1983-07-02T00,1983,07,02,00,0.72,246
1985-07-09T21,1985,07,09,21,0.72,247
2007-08-05T06,2007,08,05,06,0.72,248
2010-06-15T20,2010,06,15,20,0.72,249
1977-06-05T04,1977,06,05,04,0.71,250
1963-08-02T07,1963,08,02,07,0.70,251
1979-08-10T01,1979,08,10,01,0.70,252
1988-07-16T15,1988,07,16,15,0.70,253
2011-07-27T23,2011,07,27,23,0.70,254
1983-06-27T20,1983,06,27,20,0.69,255
